BigLez's Big List - Twitter: @MetaBigLez - SOL Tip jar : GHzCmtELeoSCgnH54MkdkNi28XFo7zSeXQie7GmtX594,,,,,,,,,,
Please read the key & disclaimer located at the bottom of this document before proceeding,,,,,,,,,,
Chain,Project,What they do,Frequency,Difficulty 1-5,Funding,What to do,Tips,Wallet 1,Wallet 2,Wallet 3
Multichain,Wormhole,Bridge,2-4x a month,2,$225+ Million,Bridge to and from Solana using Mayan ,,,,
Multichain,Orbiter,Bridge,2-4x a month,2,Undisclosed,Bridge to and from multiple chains,,,,
Multichain,Bungee,Bridge,2-4x a month,2,Undisclosed,Bridge to and from multiple chains,,,,
Multichain,DeBridge,Bridge,2-4x a month,2,$5+ Million,Perform cross chain swaps with multiple tokens,,,,
Multichain,Jumper,Bridge,2-4x a month,2,$25+ Million,Bridge to and from multiple chains,,,,
Multichain,Satori,Trading,Close/re-open trades weekly,2,$10 Million,Trade on zkSync,Open a trade and hedge the trade using another platform like Hyperliquid,,,
Multichain,Odos,Trading,2x a month,2,Undisclosed,Swap on multiple chains,,,,
Multichain,Slingshot,Trading,2x a month,2,$20+ Million,Swap on multiple chains,,,,
Multichain,LayerZero,Interoperability Protocol,Weekly,2,$280+ Million,"Use stargate, add LP, create volume be active on governance","Might be a bit late to start, if you've used before then continue periodically",,,
Multichain,Zora,Layer 2,2-3x a month,2,$60+ Million,"Bridge to Zora, mint NFT's on multiple chains",,,,
Multichain,HyperLiquid,Trading,Close/re-open trades weekly,2,Undisclosed,"Counter trade with Satori, add LP",,,,
Solana,MarginFI,Lending Protocol,Do once - watch health,3,$3 Million,• Lend assets on MarginFi • Borrow assets on MarginFi You can also Stake SOL as LST.,,,,
Solana,Drift,Perp DEX,Do once - watch health,3,$4 Million,• Connect your wallet to Drift • Trade • Provide liquidity to the DLP • Stake in the Drift Insurance Fund Vaults,,,,
Solana,Tensor,NFT marketplace,2x a month,2,$3 Million,• List NFTs from top collections • Bid on NFTs from top collections • Market make NFTs from top collections,Use Ref code: RUT346,,,
Solana,Jupiter,Swap Aggregator,Whenever you swap on SOL,1,Undisclosed,• Swap tokens • Set limit orders • Set DCAs • Use the Jupiter bridge • Trade perps,,,,
Solana,Kamino,Lending Protocol,Do once - watch health,3,Undisclosed,Provide liquidity Borrow/lend,,,,
Solana,Parcl,RWA Perp futures,"Do once, keep funds on it",1,$10+ million,Provide liquidity (easiest way to gain points) Long/Short real estate prices,Use Ref code for extra 5% points: biglez,,,
Solana,Sniper,NFT marketplace,2x a month,2,Undisclosed,"Buy, Sell, Bid and List NFT's",,,,
Solana,Banana Miner,Defi Ponzi,"Stake once, compound weekly",1.5,Undisclosed,"Compound more to increase rewards, get refs for bonus 12%",,,,
Injective,Black Panther,Asset Management,"Do once, engage in votes",1,Undisclosed,"Deposit in vault, stake to validator, stake 5-10 $INJ.
Earn $BLACK and voting power.
Engage in voting proposals.
Additional staking through Keplr wallet.",,,,
Injective,Talis Protocol,NFT Marketplace,2x a month,2,$2+ Million,"Stake $INJ with Talis Validator, trade NFTs on Injective Talis Marketplace.
Rewards include $TALIS, proportional to staked amount.",,,,
