Protocol,Statut,Blockchain,Action,Date,Site,Twitter,Note
Hop Exchange,Airdrop Farmable + 90 % chance of an airdrop,Cross-Chain,Use the bridge + be LP + stake the LP,End 2021,https://hop.exchange/,https://twitter.com/HopProtocol,Rumor airdrop RT by the founder
Dex Guru,Airdrop Farmable + 90 % chance of an airdrop,MultiChain,"Make Swaps on Ethereum, Polygon, BSC",Unknown,https://dex.guru/,https://twitter.com/dexguru,To raise funds from Julien Bouteloup who does airdrops all the time
Cowswap,Airdrop Farmable + 90 % chance of an airdrop,Ethereum + xDai,Make swaps + have a Poap + hodl $GNO,End 2021,https://cowswap.exchange/,https://twitter.com/MEVprotection,Airdrop rumor on their twitter + community member + proposal: https://forum.gnosis.io/t/gip-13-gnosis-protocol-token/1529
Paraswap,Airdrop Live,MultiChain,https://medium.com/paraswap/introducing-the-psp-token-to-make-paraswap-even-more-efficient-and-decentralized-c4730e50be72,Unknown,https://paraswap.io/#/?network=polygon,https://twitter.com/paraswap,Big rumors: https://twitter.com/paraswap/status/1439540772865458179?s=21 and https://twitter.com/paraswap/status/1440767449918427136?s=20 and https://twitter.com/FrankResearcher/status/1456992470777188354
Slingshot,Airdrop Farmable,Polygon,Makes swaps,Unknown,https://slingshot.finance/,https://twitter.com/SlingshotCrypto,Speculative + has no token yet
Superfluid,Airdrop Farmable,Polygon + xDai,Use the protocol,Unknown,https://www.superfluid.finance/,https://twitter.com/Superfluid_HQ,Speculative + has no token yet
Botto,Airdrop Live,Ethereum,Own a blue chip nft,Live,https://botto.com/,https://twitter.com/bottoproject,https://twitter.com/ElectionDayMad1/status/1447418648642170882
ApeBoard,Airdrop Farmable,Multichain,Create a profil + make a swap + make a donation,Unknown,https://apeboard.finance/dashboard,https://twitter.com/ape_board,Speculative + has no token yet
Robo vault,Airdrop Farmable + 90 % chance of an airdrop,Fantom,Use vaults,End 2021-2022,https://www.robo-vault.com/,https://twitter.com/robo_vault,"https://docs.robo-vault.com/robovault-v2/untitled, snapshots taken between 1st August and 29th September for V1 vaults and others snapshots are taken everydays"
Artion,Airdrop Farmable,Fantom,Buy and Sell NFTs,Unknown,https://artion.io/,/,This is Andre Cronje behind with Fantom
